Crop,temperature,Soil_Moisture,Area_in_hectares,Production_in_tons,Crop_Type,N,P,K,pH,rainfall,Yield_ton_per_hec
horsegram,28.5,54,374.0,192.2,kharif,20,60,20,5.86,1145.22,0.513903743
moong,28.5,54,13559.0,4449.1,kharif,20,40,20,5.68,1145.22,0.328128918
sesamum,28.5,54,28.0,16.8,kharif,30,15,30,6.34,1145.22,0.6
rapeseed,23.56,54,133.0,18.5,rabi,50,40,20,4.82,167.38,0.139097744
sunflower,23.56,54,200.0,80.0,rabi,50,60,30,5.48,167.38,0.4
coriander,26.73636364,54,970.0,460.0,whole year,10,20,20,6.54,1426.3,0.474226804
garlic,26.73636364,54,360.0,1150.0,whole year,50,10,60,5.42,1426.3,3.194444444
horsegram,28.5,54,2129.0,483.3,kharif,20,60,20,6.04,1145.22,0.227007985
jowar,28.5,54,390.0,220.0,kharif,80,40,40,5.52,1145.22,0.564102564
maize,28.5,54,3974.0,2342.0,kharif,80,40,20,5.5,1145.22,0.589330649
moong,28.5,54,401.0,98.0,kharif,20,40,20,5.44,1145.22,0.244389027
ragi,28.5,54,16.0,15.2,kharif,50,40,20,5.5,1145.22,0.95
sesamum,28.5,54,710.0,70.9,kharif,30,15,30,6.42,1145.22,0.099859155
rapeseed,23.56,54,913.0,110.5,rabi,50,40,20,5.16,167.38,0.121029573
